Temperature,Humidity,Moisture,Nitrogen,Phosphorus,Potassium,Soil_Type,Crop_Type,Fertilizer
29.3,36,39,85,17,6,Sandy,Cotton,Urea
34.7,72,50,19,84,26,Red,Rice,DAP
23.0,54,49,36,41,58,Loamy,Maize,NPK 10-26-26
36.9,64,58,48,33,37,Red,Wheat,NPK 20-20-20
26.0,55,38,14,43,12,Red,Oil Seeds,SSP
31.9,60,43,46,57,52,Sandy,Millets,NPK 10-26-26
28.5,55,44,47,40,50,Loamy,Rice,NPK 10-26-26
32.1,58,60,58,44,43,Red,Sugarcane,NPK 20-20-20
26.8,68,47,10,72,19,Black,Pulses,DAP
33.4,71,34,52,39,58,Black,Maize,NPK 10-26-26
24.7,66,49,57,53,57,Loamy,Rice,NPK 10-26-26
35.4,63,62,61,38,43,Loamy,Maize,NPK 20-20-20
23.6,63,55,87,2,18,Black,Cotton,Urea
31.5,51,44,4,11,65,Loamy,Maize,MOP
28.6,34,37,13,14,72,Red,Cotton,MOP
26.0,40,31,9,60,5,Loamy,Maize,SSP
33.0,44,45,22,29,22,Sandy,Wheat,Ammonium Sulphate
29.0,52,40,21,84,6,Loamy,Pulses,DAP
31.1,57,38,59,61,56,Loamy,Sugarcane,NPK 10-26-26
35.8,51,51,14,78,16,Loamy,Maize,DAP
28.5,52,45,28,73,15,Loamy,Rice,DAP
32.1,49,40,6,17,78,Black,Wheat,MOP
21.4,49,22,3,53,13,Red,Ground Nuts,SSP
28.2,58,45,36,58,64,Red,Wheat,NPK 10-26-26
30.7,57,54,55,59,69,Clayey,Wheat,NPK 10-26-26
29.1,54,36,81,13,15,Clayey,Wheat,Urea
28.1,47,40,56,51,36,Red,Wheat,NPK 10-26-26
25.3,50,44,43,46,58,Red,Cotton,NPK 10-26-26
31.7,47,45,63,49,57,Sandy,Rice,NPK 10-26-26
28.3,41,37,17,17,27,Loamy,Tobacco,Ammonium Sulphate
37.5,25,33,8,12,69,Clayey,Rice,MOP
26.0,67,49,24,73,6,Black,Pulses,DAP
22.1,43,43,34,15,34,Red,Wheat,Ammonium Sulphate
25.5,69,54,48,43,50,Loamy,Rice,NPK 10-26-26
24.2,43,36,13,58,11,Red,Pulses,SSP
24.3,49,37,19,34,25,Sandy,Wheat,Ammonium Sulphate
24.0,56,45,47,57,47,Loamy,Wheat,NPK 10-26-26
23.7,49,53,29,27,34,Sandy,Wheat,Ammonium Sulphate
26.3,45,36,8,56,10,Red,Oil Seeds,SSP
26.7,63,38,42,55,54,Clayey,Cotton,NPK 10-26-26
23.0,53,32,80,15,19,Clayey,Rice,Urea
30.0,49,38,14,21,34,Red,Wheat,Ammonium Sulphate
23.5,56,56,14,83,20,Black,Maize,DAP
31.6,58,36,9,74,14,Black,Wheat,DAP
27.1,48,40,4,6,80,Loamy,Oil Seeds,MOP
29.7,71,48,52,34,42,Clayey,Maize,NPK 20-20-20
24.8,62,48,22,71,19,Loamy,Pulses,DAP
30.0,46,33,7,55,13,Sandy,Oil Seeds,SSP
27.4,70,53,54,38,34,Red,Cotton,NPK 20-20-20
21.2,55,37,13,18,93,Black,Wheat,MOP
26.7,45,38,32,14,31,Red,Wheat,Ammonium Sulphate
30.9,50,31,90,13,5,Loamy,Wheat,Urea
31.7,45,38,9,3,75,Black,Cotton,MOP
21.8,50,53,50,55,59,Red,Rice,NPK 10-26-26
33.8,52,38,18,17,65,Loamy,Rice,MOP
24.8,52,40,17,26,77,Loamy,Rice,MOP
27.9,45,53,83,8,16,Loamy,Wheat,Urea
27.5,73,49,54,46,50,Red,Tobacco,NPK 20-20-20
29.9,52,43,52,53,58,Red,Wheat,NPK 10-26-26
38.0,36,28,8,14,60,Sandy,Cotton,MOP
27.3,50,40,80,8,0,Loamy,Maize,Urea
43.0,36,35,8,20,70,Black,Wheat,MOP
29.4,44,32,10,13,66,Red,Rice,MOP
25.2,50,41,86,28,8,Red,Cotton,Urea
27.5,37,31,10,8,52,Black,Wheat,MOP
29.6,71,44,46,76,64,Loamy,Rice,NPK 10-26-26
30.7,42,33,2,5,80,Red,Rice,MOP
35.0,65,47,57,42,32,Red,Sugarcane,NPK 20-20-20
22.1,49,33,38,54,54,Red,Wheat,NPK 10-26-26
28.2,49,49,57,48,54,Loamy,Rice,NPK 10-26-26
29.3,63,51,69,43,51,Loamy,Sugarcane,NPK 20-20-20
28.4,51,32,14,8,58,Black,Wheat,MOP
31.4,63,52,12,74,18,Loamy,Maize,DAP
30.8,48,32,5,48,3,Sandy,Ground Nuts,SSP
19.0,37,29,5,44,17,Loamy,Rice,SSP
26.3,47,57,89,16,8,Black,Cotton,Urea
24.0,55,47,60,36,46,Loamy,Cotton,NPK 20-20-20
29.1,33,36,11,48,14,Loamy,Pulses,SSP
28.6,55,41,22,74,19,Red,Maize,DAP
29.1,59,66,56,39,34,Sandy,Tobacco,NPK 20-20-20
26.0,53,28,7,57,4,Loamy,Pulses,SSP
23.3,40,45,26,24,29,Clayey,Tobacco,Ammonium Sulphate
31.3,38,42,12,4,58,Red,Maize,MOP
29.3,54,30,13,62,12,Loamy,Ground Nuts,SSP
25.9,46,31,13,11,64,Loamy,Rice,MOP
33.9,50,42,91,20,11,Clayey,Maize,Urea
29.5,61,38,19,75,26,Red,Maize,DAP
31.5,50,51,50,38,39,Black,Tobacco,NPK 20-20-20
25.8,44,46,23,22,21,Sandy,Wheat,Ammonium Sulphate
31.5,65,37,20,68,10,Loamy,Pulses,DAP
29.1,54,36,53,62,50,Red,Cotton,NPK 10-26-26
27.6,66,35,98,15,6,Loamy,Wheat,Urea
25.6,50,44,12,7,74,Black,Cotton,MOP
26.1,50,37,80,22,31,Loamy,Maize,Urea
22.3,48,40,77,11,7,Black,Cotton,Urea
20.5,55,38,90,2,24,Loamy,Rice,Urea
28.2,69,48,45,51,52,Loamy,Ground Nuts,NPK 10-26-26
33.9,73,43,37,49,35,Clayey,Cotton,NPK 20-20-20
26.9,47,51,45,51,48,Red,Rice,NPK 10-26-26
25.8,48,63,86,16,17,Black,Wheat,Urea
31.0,68,28,13,79,23,Black,Sugarcane,DAP
25.2,46,31,15,67,10,Loamy,Sugarcane,SSP
29.0,77,57,65,41,44,Red,Cotton,NPK 20-20-20
29.2,62,43,23,73,23,Loamy,Cotton,DAP
32.8,54,56,26,90,23,Black,Cotton,DAP
40.8,51,35,2,5,71,Red,Maize,MOP
27.1,42,31,10,70,0,Black,Pulses,SSP
24.7,57,32,10,18,27,Loamy,Wheat,Ammonium Sulphate
24.0,50,49,90,24,14,Black,Wheat,Urea
25.9,60,54,54,47,47,Red,Maize,NPK 20-20-20
28.8,54,49,101,9,10,Black,Wheat,Urea
29.9,64,43,56,43,40,Sandy,Sugarcane,NPK 20-20-20
28.4,78,58,74,46,27,Red,Sugarcane,NPK 20-20-20
24.4,60,57,61,36,41,Sandy,Maize,NPK 20-20-20
27.0,44,32,2,9,77,Black,Wheat,MOP
25.1,28,32,8,11,56,Clayey,Maize,MOP
27.7,67,54,16,65,26,Black,Wheat,DAP
30.1,60,47,32,52,61,Black,Maize,NPK 10-26-26
32.9,37,32,11,6,59,Red,Rice,MOP
27.1,49,42,83,13,14,Sandy,Rice,Urea
28.0,69,59,51,46,35,Clayey,Tobacco,NPK 20-20-20
28.9,60,45,62,38,47,Red,Maize,NPK 20-20-20
26.4,42,27,4,54,6,Red,Tobacco,SSP
29.9,51,47,70,8,9,Loamy,Cotton,Urea
28.3,47,42,3,15,71,Loamy,Cotton,MOP
27.1,58,40,19,21,33,Red,Millets,Ammonium Sulphate
30.7,54,38,50,54,52,Sandy,Maize,NPK 10-26-26
30.9,49,42,95,0,33,Loamy,Wheat,Urea
28.2,42,37,92,29,24,Black,Cotton,Urea
24.5,43,34,24,22,23,Red,Ground Nuts,Ammonium Sulphate
22.6,58,50,62,51,49,Loamy,Rice,NPK 10-26-26
21.6,50,48,77,22,15,Loamy,Sugarcane,Urea
31.1,54,60,49,42,52,Sandy,Maize,NPK 20-20-20
30.8,67,32,28,26,37,Loamy,Cotton,Ammonium Sulphate
35.7,63,39,25,26,33,Black,Cotton,Ammonium Sulphate
25.6,45,30,3,53,20,Loamy,Oil Seeds,SSP
22.0,50,30,38,25,28,Sandy,Wheat,Ammonium Sulphate
27.0,48,30,16,42,11,Loamy,Pulses,SSP
29.4,53,46,16,21,22,Sandy,Millets,Ammonium Sulphate
24.0,46,33,17,48,0,Loamy,Cotton,SSP
29.3,48,39,82,10,18,Black,Maize,Urea
32.3,61,43,7,6,75,Clayey,Cotton,MOP
26.1,31,35,19,70,10,Loamy,Ground Nuts,SSP
31.9,38,45,85,5,0,Clayey,Cotton,Urea
31.1,51,29,7,52,1,Loamy,Pulses,SSP
30.0,48,32,75,12,10,Black,Rice,Urea
33.5,42,39,9,16,69,Loamy,Wheat,MOP
31.2,39,47,34,19,34,Sandy,Millets,Ammonium Sulphate
23.2,44,56,65,21,8,Black,Rice,Urea
33.7,46,43,47,51,66,Red,Cotton,NPK 10-26-26
29.1,74,48,63,37,46,Loamy,Tobacco,NPK 20-20-20
29.9,73,37,13,85,18,Red,Millets,DAP
32.0,53,51,55,55,59,Loamy,Oil Seeds,NPK 10-26-26
26.5,73,50,58,43,43,Sandy,Sugarcane,NPK 20-20-20
29.0,48,33,19,33,39,Sandy,Tobacco,Ammonium Sulphate
24.7,42,38,0,45,13,Sandy,Pulses,SSP
32.5,47,35,14,59,5,Sandy,Oil Seeds,SSP
29.5,77,46,62,44,45,Loamy,Cotton,NPK 20-20-20
26.2,66,39,17,80,14,Black,Rice,DAP
25.9,47,52,86,25,18,Black,Wheat,Urea
30.0,48,25,11,10,60,Red,Rice,MOP
32.8,54,43,22,19,25,Red,Tobacco,Ammonium Sulphate
33.8,57,50,36,23,32,Red,Wheat,Ammonium Sulphate
29.7,37,26,23,53,18,Red,Pulses,SSP
27.4,39,25,14,0,66,Red,Cotton,MOP
30.8,41,35,14,13,71,Loamy,Maize,MOP
28.2,62,39,10,78,25,Black,Rice,DAP
29.2,39,35,7,9,79,Red,Wheat,MOP
22.1,60,42,19,19,31,Sandy,Tobacco,Ammonium Sulphate
33.6,59,49,32,43,50,Loamy,Maize,NPK 10-26-26
29.8,53,41,86,26,13,Black,Cotton,Urea
29.0,55,32,17,32,36,Sandy,Rice,Ammonium Sulphate
32.8,54,39,81,26,0,Black,Cotton,Urea
36.5,69,54,64,42,42,Sandy,Ground Nuts,NPK 20-20-20
26.5,56,40,13,79,15,Red,Wheat,DAP
28.9,61,57,19,76,32,Loamy,Wheat,DAP
32.2,56,48,50,46,55,Sandy,Wheat,NPK 10-26-26
30.0,42,41,10,16,77,Black,Rice,MOP
29.9,70,60,59,29,39,Red,Sugarcane,NPK 20-20-20
28.3,79,43,11,67,23,Loamy,Tobacco,DAP
31.8,61,45,61,44,33,Clayey,Tobacco,NPK 20-20-20
32.2,52,44,87,29,1,Black,Rice,Urea
27.3,62,40,50,49,59,Clayey,Tobacco,NPK 10-26-26
37.5,76,44,53,45,46,Sandy,Sugarcane,NPK 20-20-20
29.4,52,40,12,19,32,Loamy,Millets,Ammonium Sulphate
32.5,50,45,68,16,14,Black,Maize,Urea
32.8,61,42,22,78,13,Black,Rice,DAP
24.0,50,46,22,64,15,Red,Rice,DAP
29.8,53,40,56,59,54,Red,Cotton,NPK 10-26-26
33.0,47,37,8,0,65,Sandy,Cotton,MOP
23.1,45,34,15,23,31,Red,Tobacco,Ammonium Sulphate
26.9,53,48,55,59,55,Sandy,Millets,NPK 10-26-26
25.0,58,52,22,75,27,Loamy,Rice,DAP
31.0,48,43,81,31,6,Loamy,Maize,Urea
26.8,54,47,58,65,56,Loamy,Rice,NPK 10-26-26
27.0,50,35,12,16,68,Loamy,Wheat,MOP
31.7,70,59,58,36,51,Black,Maize,NPK 20-20-20
20.1,40,34,11,11,25,Sandy,Millets,Ammonium Sulphate
29.3,54,27,84,1,9,Black,Ground Nuts,Urea
26.5,61,30,7,42,9,Sandy,Pulses,SSP
22.6,36,38,35,23,21,Sandy,Ground Nuts,Ammonium Sulphate
30.8,35,36,9,49,9,Sandy,Ground Nuts,SSP
24.6,55,35,25,12,23,Loamy,Maize,Ammonium Sulphate
28.0,54,37,84,4,23,Clayey,Sugarcane,Urea
29.8,52,53,17,78,9,Red,Wheat,DAP
30.9,60,45,16,69,4,Red,Maize,DAP
30.3,71,58,61,45,38,Loamy,Maize,NPK 20-20-20
28.4,44,35,4,21,70,Loamy,Cotton,MOP
27.6,46,35,81,2,5,Clayey,Sugarcane,Urea
29.0,59,36,79,16,7,Clayey,Wheat,Urea
25.2,54,42,14,24,28,Red,Millets,Ammonium Sulphate
31.7,74,50,60,30,39,Loamy,Sugarcane,NPK 20-20-20
34.0,50,34,13,71,6,Black,Oil Seeds,DAP
29.0,42,49,72,6,10,Black,Maize,Urea
30.0,48,27,15,71,0,Loamy,Oil Seeds,SSP
33.3,58,30,12,16,19,Red,Ground Nuts,Ammonium Sulphate
30.0,40,43,89,19,19,Sandy,Wheat,Urea
29.3,72,52,53,50,44,Red,Ground Nuts,NPK 10-26-26
29.5,47,36,88,10,8,Clayey,Rice,Urea
26.0,69,57,54,38,29,Loamy,Maize,NPK 20-20-20
24.7,50,29,16,49,10,Loamy,Ground Nuts,SSP
31.9,48,43,19,18,42,Red,Maize,Ammonium Sulphate
30.3,74,51,53,39,50,Sandy,Wheat,NPK 20-20-20
20.2,63,67,79,4,17,Sandy,Oil Seeds,Urea
35.1,64,57,46,42,37,Red,Tobacco,NPK 20-20-20
33.6,48,60,17,71,21,Loamy,Tobacco,DAP
28.9,50,31,1,57,11,Red,Oil Seeds,SSP
24.2,56,45,17,17,27,Sandy,Maize,Ammonium Sulphate
30.8,65,54,62,45,42,Sandy,Sugarcane,NPK 20-20-20
22.9,60,33,88,5,14,Black,Tobacco,Urea
27.7,28,21,12,49,10,Sandy,Rice,SSP
29.4,62,58,67,48,29,Red,Pulses,NPK 20-20-20
30.4,49,38,25,29,37,Red,Wheat,Ammonium Sulphate
23.6,68,42,14,80,27,Loamy,Wheat,DAP
31.0,56,44,43,39,63,Loamy,Tobacco,NPK 10-26-26
25.8,43,41,5,11,53,Red,Wheat,MOP
20.0,46,31,12,45,22,Sandy,Pulses,SSP
34.7,40,33,75,3,12,Loamy,Ground Nuts,Urea
32.0,49,44,87,12,23,Clayey,Sugarcane,Urea
34.4,42,31,0,9,62,Black,Ground Nuts,MOP
25.5,39,25,4,12,80,Black,Cotton,MOP
23.8,47,39,81,29,25,Loamy,Rice,Urea
26.6,47,30,16,20,82,Loamy,Maize,MOP
31.1,62,45,54,60,50,Red,Rice,NPK 10-26-26
33.5,55,38,6,10,72,Red,Sugarcane,MOP
30.9,45,39,9,16,77,Black,Cotton,MOP
31.7,53,36,33,6,16,Sandy,Maize,Ammonium Sulphate
23.1,57,49,37,55,58,Loamy,Rice,NPK 10-26-26
32.4,59,52,7,81,35,Loamy,Ground Nuts,DAP
24.1,52,42,57,61,69,Red,Millets,NPK 10-26-26
27.4,47,34,18,24,30,Sandy,Sugarcane,Ammonium Sulphate
25.5,41,28,9,44,13,Loamy,Oil Seeds,SSP
26.4,50,51,19,17,25,Sandy,Tobacco,Ammonium Sulphate
29.3,78,60,20,67,11,Red,Millets,DAP
26.7,43,43,52,63,47,Black,Cotton,NPK 10-26-26
34.0,39,35,7,13,80,Red,Rice,MOP
24.4,52,28,4,18,75,Red,Cotton,MOP
29.7,38,31,9,24,78,Red,Rice,MOP
31.6,63,44,50,44,37,Sandy,Tobacco,NPK 20-20-20
19.0,45,42,3,54,9,Red,Oil Seeds,SSP
26.8,63,45,53,37,31,Loamy,Cotton,NPK 20-20-20
19.9,56,40,14,89,24,Clayey,Pulses,DAP
31.5,45,35,2,8,74,Loamy,Maize,MOP
23.0,62,43,48,54,54,Loamy,Maize,NPK 10-26-26
26.9,62,45,42,52,53,Loamy,Cotton,NPK 10-26-26
24.9,38,35,17,60,10,Loamy,Pulses,SSP
35.4,60,58,55,27,39,Sandy,Sugarcane,NPK 20-20-20
35.9,58,38,46,58,56,Loamy,Cotton,NPK 10-26-26
28.4,69,41,18,80,19,Clayey,Wheat,DAP
27.6,63,38,48,63,58,Sandy,Wheat,NPK 10-26-26
29.9,59,52,48,46,61,Sandy,Wheat,NPK 10-26-26
28.0,50,30,9,21,63,Red,Cotton,MOP
27.1,58,55,5,72,4,Black,Wheat,DAP
24.9,53,56,52,64,56,Loamy,Sugarcane,NPK 10-26-26
32.5,35,41,15,23,27,Clayey,Millets,Ammonium Sulphate
29.3,62,40,17,70,24,Loamy,Tobacco,DAP
31.6,53,33,4,18,66,Red,Maize,MOP
31.2,45,29,13,20,71,Red,Pulses,MOP
30.4,37,46,18,8,45,Sandy,Millets,Ammonium Sulphate
19.8,57,36,26,11,29,Loamy,Wheat,Ammonium Sulphate
30.3,39,32,5,19,81,Red,Wheat,MOP
37.7,61,51,69,27,36,Red,Tobacco,NPK 20-20-20
32.3,68,57,58,42,42,Red,Maize,NPK 20-20-20
28.1,54,55,57,53,51,Clayey,Maize,NPK 10-26-26
31.3,64,57,50,38,39,Red,Millets,NPK 20-20-20
26.8,49,29,4,44,13,Loamy,Pulses,SSP
30.4,43,40,12,52,7,Sandy,Ground Nuts,SSP
34.5,52,37,18,10,64,Red,Cotton,MOP
23.9,38,33,11,48,20,Sandy,Pulses,SSP
24.6,64,40,29,11,29,Red,Tobacco,Ammonium Sulphate
24.7,44,36,18,15,30,Sandy,Wheat,Ammonium Sulphate
33.1,38,32,11,20,73,Black,Cotton,MOP
32.1,47,19,8,18,72,Black,Maize,MOP
31.1,50,41,58,51,46,Red,Maize,NPK 10-26-26
18.2,47,27,9,59,9,Loamy,Sugarcane,SSP
30.0,63,46,47,50,56,Loamy,Maize,NPK 10-26-26
27.4,55,49,7,41,6,Loamy,Oil Seeds,SSP
17.8,48,41,87,9,5,Sandy,Wheat,Urea
27.4,68,51,67,36,46,Sandy,Sugarcane,NPK 20-20-20
35.7,48,38,29,29,28,Loamy,Tobacco,Ammonium Sulphate
32.9,47,47,39,63,54,Black,Rice,NPK 10-26-26
21.3,35,20,6,52,22,Loamy,Maize,SSP
22.3,69,46,17,74,24,Loamy,Maize,DAP
25.0,40,23,10,51,12,Loamy,Ground Nuts,SSP
27.0,61,33,21,32,36,Sandy,Maize,Ammonium Sulphate
25.9,52,45,24,15,26,Loamy,Maize,Ammonium Sulphate
30.6,62,54,26,75,21,Black,Wheat,DAP
29.9,47,36,17,11,27,Sandy,Tobacco,Ammonium Sulphate
32.5,35,39,12,10,68,Loamy,Wheat,MOP
28.5,29,35,7,6,82,Red,Sugarcane,MOP
24.4,57,39,12,58,22,Loamy,Ground Nuts,SSP
24.9,60,46,74,20,13,Sandy,Sugarcane,Urea
28.6,73,55,52,38,34,Loamy,Maize,NPK 20-20-20
31.6,59,37,10,7,82,Black,Maize,MOP
23.3,44,41,14,50,8,Loamy,Pulses,SSP
25.3,48,49,19,84,4,Red,Sugarcane,DAP
29.9,49,39,6,6,74,Loamy,Maize,MOP
25.3,51,21,14,47,15,Red,Ground Nuts,SSP
32.0,70,58,63,37,39,Loamy,Cotton,NPK 20-20-20
28.9,41,41,9,12,77,Loamy,Tobacco,MOP
34.2,53,52,63,64,59,Loamy,Cotton,NPK 10-26-26
35.4,51,53,46,60,64,Loamy,Wheat,NPK 10-26-26
30.3,62,57,23,77,25,Red,Maize,DAP
30.1,60,30,26,10,39,Loamy,Wheat,Ammonium Sulphate
21.6,51,36,46,52,59,Black,Rice,NPK 10-26-26
26.3,46,39,20,23,13,Red,Wheat,Ammonium Sulphate
29.1,51,40,4,54,9,Loamy,Oil Seeds,SSP
28.9,52,43,21,26,7,Loamy,Maize,Ammonium Sulphate
29.1,66,39,14,69,15,Loamy,Oil Seeds,DAP
30.2,61,41,66,24,30,Sandy,Cotton,Urea
24.2,62,48,36,46,35,Sandy,Cotton,NPK 20-20-20
28.3,51,31,7,14,31,Red,Maize,Ammonium Sulphate
32.9,38,41,8,6,77,Loamy,Maize,MOP
31.4,58,64,57,37,52,Red,Tobacco,NPK 20-20-20
27.0,49,43,21,74,13,Loamy,Millets,DAP
30.2,64,52,57,39,40,Loamy,Tobacco,NPK 20-20-20
28.3,52,32,0,6,72,Loamy,Wheat,MOP
23.0,66,54,20,83,1,Black,Millets,DAP
25.3,60,33,50,49,58,Red,Rice,NPK 10-26-26
29.4,50,22,15,54,18,Red,Oil Seeds,SSP
37.8,54,52,59,55,45,Sandy,Cotton,NPK 20-20-20
22.7,50,30,80,4,11,Black,Maize,Urea
34.6,64,51,56,45,36,Sandy,Sugarcane,NPK 20-20-20
34.1,58,54,56,35,35,Sandy,Sugarcane,NPK 20-20-20
28.5,48,29,6,20,90,Black,Cotton,MOP
26.1,46,41,36,62,61,Sandy,Wheat,NPK 10-26-26
23.8,67,48,51,46,41,Sandy,Cotton,NPK 20-20-20
33.1,41,44,5,5,72,Loamy,Wheat,MOP
30.0,39,37,10,5,64,Loamy,Millets,MOP
25.8,43,39,23,23,30,Sandy,Ground Nuts,Ammonium Sulphate
26.2,50,38,10,9,83,Black,Wheat,MOP
30.6,55,44,2,80,31,Black,Wheat,DAP
28.9,65,54,62,50,43,Loamy,Tobacco,NPK 20-20-20
35.5,58,47,80,15,12,Loamy,Rice,Urea
28.7,43,33,8,55,12,Loamy,Ground Nuts,SSP
29.6,62,52,69,51,39,Black,Rice,NPK 20-20-20
27.2,61,50,17,85,15,Clayey,Maize,DAP
30.8,50,36,12,8,77,Black,Cotton,MOP
26.7,62,51,26,72,21,Black,Maize,DAP
26.9,59,51,48,58,70,Sandy,Cotton,NPK 10-26-26
31.9,47,33,0,8,68,Red,Ground Nuts,MOP
26.3,49,39,28,29,33,Red,Oil Seeds,Ammonium Sulphate
29.6,47,32,17,40,10,Sandy,Ground Nuts,SSP
28.0,34,36,9,11,88,Loamy,Millets,MOP
36.2,46,35,88,15,15,Clayey,Maize,Urea
23.9,43,36,77,11,13,Black,Rice,Urea
33.5,45,49,6,15,81,Sandy,Pulses,MOP
28.7,69,35,15,19,34,Sandy,Cotton,Ammonium Sulphate
24.6,48,33,94,0,4,Black,Maize,Urea
24.0,36,38,91,9,11,Red,Cotton,Urea
28.8,53,41,58,39,70,Red,Maize,NPK 10-26-26
28.1,73,46,18,75,12,Red,Millets,DAP
27.9,43,42,77,38,17,Sandy,Rice,Urea
36.8,58,38,35,26,34,Sandy,Tobacco,Ammonium Sulphate
23.5,60,56,55,61,53,Red,Maize,NPK 10-26-26
27.6,52,50,44,60,55,Red,Rice,NPK 10-26-26
32.7,47,39,82,6,8,Clayey,Oil Seeds,Urea
26.4,45,44,22,25,34,Black,Wheat,Ammonium Sulphate
28.8,73,55,60,41,41,Loamy,Pulses,NPK 20-20-20
26.2,42,28,19,55,6,Red,Ground Nuts,SSP
27.2,59,32,31,18,26,Loamy,Maize,Ammonium Sulphate
33.9,63,46,23,75,28,Red,Rice,DAP
29.3,47,36,18,61,22,Black,Rice,DAP
26.3,74,61,4,53,18,Red,Rice,DAP
34.4,44,45,11,17,67,Loamy,Wheat,MOP
31.1,59,35,17,74,13,Clayey,Rice,DAP
34.1,76,54,57,43,46,Sandy,Cotton,NPK 20-20-20
22.4,58,53,4,70,27,Black,Pulses,DAP
21.7,42,25,14,52,11,Loamy,Ground Nuts,SSP
24.0,51,36,7,50,9,Red,Wheat,SSP
31.3,69,68,44,43,33,Clayey,Maize,NPK 20-20-20
28.7,52,53,91,0,17,Loamy,Maize,Urea
31.6,68,51,64,41,35,Clayey,Rice,NPK 20-20-20
32.1,41,46,17,41,16,Clayey,Ground Nuts,SSP
29.9,54,38,53,59,48,Red,Pulses,NPK 10-26-26
25.0,29,25,79,8,8,Loamy,Millets,Urea
23.6,51,36,2,12,47,Black,Cotton,MOP
26.1,57,35,35,45,60,Red,Rice,NPK 10-26-26
29.3,56,41,54,65,57,Red,Maize,NPK 10-26-26
35.7,61,49,48,49,39,Red,Cotton,NPK 20-20-20
27.4,66,57,61,48,41,Loamy,Maize,NPK 20-20-20
27.6,63,36,24,23,30,Red,Tobacco,Ammonium Sulphate
33.6,58,66,48,40,44,Sandy,Sugarcane,NPK 20-20-20
21.9,62,41,50,60,56,Sandy,Ground Nuts,NPK 10-26-26
25.4,31,28,4,55,23,Red,Ground Nuts,SSP
28.3,38,40,13,13,89,Loamy,Cotton,MOP
29.1,58,54,56,36,41,Sandy,Cotton,NPK 20-20-20
29.2,44,29,94,10,13,Clayey,Millets,Urea
28.2,44,25,17,47,21,Red,Pulses,SSP
30.4,40,27,6,13,71,Red,Maize,MOP
31.2,52,45,55,46,56,Sandy,Oil Seeds,NPK 10-26-26
32.1,62,52,29,77,21,Black,Pulses,DAP
33.8,36,30,3,6,77,Clayey,Wheat,MOP
22.0,55,47,33,20,26,Loamy,Millets,Ammonium Sulphate
30.7,53,38,86,24,14,Clayey,Rice,Urea
29.9,41,34,4,52,23,Sandy,Rice,SSP
33.9,75,50,63,41,39,Loamy,Sugarcane,NPK 20-20-20
28.8,58,39,33,24,25,Sandy,Maize,Ammonium Sulphate
25.1,69,42,54,46,38,Sandy,Sugarcane,NPK 20-20-20
31.7,65,45,23,85,23,Red,Sugarcane,DAP
25.8,25,32,15,49,12,Clayey,Pulses,SSP
33.6,54,27,11,59,5,Loamy,Pulses,SSP
28.7,31,33,13,66,17,Red,Oil Seeds,SSP
39.8,78,54,68,43,38,Black,Tobacco,NPK 20-20-20
22.0,59,32,36,22,34,Loamy,Oil Seeds,Ammonium Sulphate
26.9,45,38,11,40,0,Red,Pulses,SSP
36.1,57,48,81,0,24,Loamy,Sugarcane,Urea
34.6,71,49,17,72,7,Black,Pulses,DAP
34.6,73,54,55,46,33,Red,Maize,NPK 20-20-20
31.7,48,39,3,4,68,Red,Rice,MOP
24.7,56,42,60,54,53,Sandy,Maize,NPK 10-26-26
28.8,67,43,17,82,24,Clayey,Pulses,DAP
28.7,68,50,19,65,3,Black,Maize,DAP
28.3,53,38,79,16,22,Clayey,Cotton,Urea
30.1,63,50,11,73,17,Red,Maize,DAP
30.0,56,37,51,62,64,Red,Wheat,NPK 10-26-26
27.9,67,48,4,57,9,Red,Maize,DAP
31.3,46,36,48,52,58,Red,Maize,NPK 10-26-26
26.3,49,48,46,49,57,Red,Rice,NPK 10-26-26
34.6,43,35,6,13,69,Black,Wheat,MOP
29.3,46,34,75,13,16,Sandy,Rice,Urea
27.9,60,48,19,74,23,Red,Pulses,DAP
32.3,39,53,3,82,23,Black,Maize,DAP
25.4,60,46,14,60,12,Sandy,Rice,DAP
26.4,50,47,10,74,16,Red,Pulses,DAP
26.9,40,22,18,54,13,Red,Oil Seeds,SSP
27.4,43,33,0,15,66,Black,Cotton,MOP
33.3,59,43,31,22,29,Sandy,Millets,Ammonium Sulphate
26.8,45,36,24,18,30,Red,Maize,Ammonium Sulphate
23.2,54,34,84,23,7,Black,Rice,Urea
23.8,44,51,67,8,12,Loamy,Sugarcane,Urea
29.3,47,36,13,52,16,Red,Oil Seeds,SSP
31.1,46,36,11,50,12,Red,Pulses,SSP
27.6,45,40,81,12,15,Black,Maize,Urea
27.6,53,52,13,24,24,Red,Millets,Ammonium Sulphate
31.6,71,42,69,47,34,Sandy,Tobacco,NPK 20-20-20
24.2,49,45,22,51,17,Loamy,Cotton,SSP
20.3,35,35,14,52,10,Loamy,Pulses,SSP
27.7,57,44,78,4,13,Clayey,Cotton,Urea
26.1,67,56,58,49,34,Loamy,Pulses,NPK 20-20-20
26.2,56,41,20,15,22,Loamy,Tobacco,Ammonium Sulphate
37.2,59,57,26,72,10,Black,Maize,DAP
33.1,53,54,7,84,25,Loamy,Rice,DAP
23.9,71,48,60,48,46,Red,Sugarcane,NPK 20-20-20
